GenomeID	Entry	Entry name	Status	Protein names	Gene names	Length	Proteomes
YBL050W	P32602	SEC17_YEAST	reviewed	Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha) (Vesicular-fusion protein SEC17) (alpha-SNAP chaperone)	SEC17 YBL050W YBL0505 YBL0517	292	UP000002311: Chromosome II
YBL078C	P38182	ATG8_YEAST	reviewed	Autophagy-related protein 8 (Autophagy-related ubiquitin-like modifier ATG8) (Cytoplasm to vacuole targeting protein 5)	ATG8 APG8 AUT7 CVT5 YBL078C YBL0732	117	UP000002311: Chromosome II
YBL085W	P38041	BOB1_YEAST	reviewed	Protein BOB1 (BEM1-binding protein) (Growth inhibitory protein 7)	BOI1 BOB1 GIN7 YBL085W YBL0717	980	UP000002311: Chromosome II
YBL087C	P0CX41	RL23A_YEAST	reviewed	60S ribosomal protein L23-A (L17a) (Large ribosomal subunit protein uL14-A) (YL32)	RPL23A RPL17A RPL17AA YBL087C YBL0713	137	UP000002311: Chromosome II
YBL099W	P07251	ATPA_YEAST	reviewed	ATP synthase subunit alpha, mitochondrial	ATP1 YBL099W YBL0827	545	UP000002311: Chromosome II
YBL103C	P38165	RTG3_YEAST	reviewed	Retrograde regulation protein 3	RTG3 YBL103C YBL0810	486	UP000002311: Chromosome II
YBL105C	P24583	KPC1_YEAST	reviewed	Protein kinase C-like 1 (PKC 1) (EC 2.7.11.13)	PKC1 HPO2 STT1 YBL105C YBL0807	1151	UP000002311: Chromosome II
YBR003W	P18900	COQ1_YEAST	reviewed	Hexaprenyl pyrophosphate synthase, mitochondrial (HPS) (EC 2.5.1.-)	COQ1 YBR003W YBR0109	473	UP000002311: Chromosome II
YBR009C	P02309	H4_YEAST	reviewed	Histone H4	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	103	UP000002311: Chromosome II, UP000002311: Chromosome XIV
YBR010W	P61830	H3_YEAST	reviewed	Histone H3	HHT1 YBR010W YBR0201; HHT2 SIN2 YNL031C N2749	136	UP000002311: Chromosome II, UP000002311: Chromosome XIV
YBR017C	P38217	IMB2_YEAST	reviewed	Importin subunit beta-2 (Importin-104) (Karyopherin subunit beta-2) (Karyopherin-104) (Transportin) (TRN)	KAP104 YBR017C YBR0224	918	UP000002311: Chromosome II
YBR037C	P23833	SCO1_YEAST	reviewed	Protein SCO1, mitochondrial	SCO1 YBR037C YBR0406	295	UP000002311: Chromosome II
YBR045C	P38229	GIP1_YEAST	reviewed	GLC7-interacting protein 1	GIP1 YBR045C YBR0420	639	UP000002311: Chromosome II
YBR050C	P38232	REG2_YEAST	reviewed	Protein REG2	REG2 YBR050C YBR0504	338	UP000002311: Chromosome II
YBR060C	P32833	ORC2_YEAST	reviewed	Origin recognition complex subunit 2 (Origin recognition complex 71 kDa subunit)	ORC2 RRR1 SIR5 YBR060C YBR0523	620	UP000002311: Chromosome II
YBR077C	P38247	SLM4_YEAST	reviewed	Protein SLM4 (EGO complex subunit 3) (GSE complex subunit 1)	SLM4 EGO3 GSE1 YBR077C YBR0723	162	UP000002311: Chromosome II
YBR080C	P18759	SEC18_YEAST	reviewed	Vesicular-fusion protein SEC18	SEC18 YBR080C YBR0736	758	UP000002311: Chromosome II
YBR087W	P38251	RFC5_YEAST	reviewed	Replication factor C subunit 5 (Replication factor C5) (Activator 1 40 kDa subunit)	RFC5 YBR087W YBR0810	354	UP000002311: Chromosome II
YBR088C	P15873	PCNA_YEAST	reviewed	Proliferating cell nuclear antigen (PCNA)	POL30 YBR088C YBR0811	258	UP000002311: Chromosome II
YBR091C	P32830	TIM12_YEAST	reviewed	Mitochondrial import inner membrane translocase subunit TIM12 (Mitochondrial regulator of splicing 5)	TIM12 MRS5 YBR091C YBR0812	109	UP000002311: Chromosome II
YBR097W	P22219	VPS15_YEAST	reviewed	Serine/threonine-protein kinase VPS15 (EC 2.7.11.1) (Golgi-retention defective mutant protein 8) (Vacuolar protein sorting-associated protein 15)	VPS15 GRD8 VAC4 VPL19 YBR097W YBR0825	1454	UP000002311: Chromosome II
YBR102C	P38261	EXO84_YEAST	reviewed	Exocyst complex component EXO84 (Exocyst complex protein of 84 kDa) (U1 SNP1-associating protein 3)	EXO84 USA3 YBR102C YBR0831	753	UP000002311: Chromosome II
YBR107C	P38265	CENPL_YEAST	reviewed	Inner kinetochore subunit IML3 (CENP-L homolog) (Constitutive centromere-associated network protein IML3) (Increased minichromosome loss protein 3) (Minichromosome maintenance protein 19)	IML3 MCM19 YBR107C YBR0836	245	UP000002311: Chromosome II
YBR108W	P38266	AIM3_YEAST	reviewed	Altered inheritance of mitochondria protein 3	AIM3 YBR108W YBR0901	947	UP000002311: Chromosome II
YBR109C	P06787	CALM_YEAST	reviewed	Calmodulin (CaM)	CMD1 YBR109C YBR0904	147	UP000002311: Chromosome II
YBR112C	P14922	CYC8_YEAST	reviewed	General transcriptional corepressor CYC8 (Glucose repression mediator protein CYC8)	CYC8 CRT8 SSN6 YBR112C YBR0908	966	UP000002311: Chromosome II
YBR114W	P31244	RAD16_YEAST	reviewed	DNA repair protein RAD16 (EC 3.6.4.-) (ATP-dependent helicase RAD16)	RAD16 YBR114W YBR0909	790	UP000002311: Chromosome II
YBR115C	P07702	LYS2_YEAST	reviewed	L-2-aminoadipate reductase (EC 1.2.1.31) (EC 1.2.1.95) (Alpha-aminoadipate reductase) (Alpha-AR) (L-aminoadipate-semialdehyde dehydrogenase)	LYS2 YBR115C YBR0910	1392	UP000002311: Chromosome II
YBR126C	Q00764	TPS1_YEAST	reviewed	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit (EC 2.4.1.15) (General glucose sensor subunit 1) (Glycogen metabolism control protein GLC6) (Trehalose synthase complex catalytic subunit TPS1) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)	TPS1 BYP1 CIF1 FDP1 GGS1 GLC6 TSS1 YBR126C YBR0922	495	UP000002311: Chromosome II
YBR127C	P16140	VATB_YEAST	reviewed	V-type proton ATPase subunit B (V-ATPase subunit B) (V-ATPase 57 kDa subunit) (Vacuolar proton pump subunit B)	VMA2 VAT2 YBR127C YBR1002	517	UP000002311: Chromosome II
YBR128C	P38270	ATG14_YEAST	reviewed	Autophagy-related protein 14 (Cytoplasm to vacuole targeting protein 12)	ATG14 APG14 CVT12 YBR128C YBR1003	344	UP000002311: Chromosome II
YBR130C	P38272	SHE3_YEAST	reviewed	SWI5-dependent HO expression protein 3	SHE3 YBR130C YBR1005	425	UP000002311: Chromosome II
YBR133C	P38274	HSL7_YEAST	reviewed	Protein arginine N-methyltransferase HSL7 (EC 2.1.1.320) (Histone synthetic lethal protein 7) (Type II protein arginine N-methyltransferase) (Type II PRMT)	HSL7 YBR133C YBR1008	827	UP000002311: Chromosome II
YBR135W	P20486	CKS1_YEAST	reviewed	Cyclin-dependent kinases regulatory subunit (Cell division control protein CKS1)	CKS1 YBR135W YBR1011	150	UP000002311: Chromosome II
YBR136W	P38111	ATR_YEAST	reviewed	Serine/threonine-protein kinase MEC1 (EC 2.7.11.1) (ATR homolog) (DNA-damage checkpoint kinase MEC1) (Mitosis entry checkpoint protein 1)	MEC1 ESR1 SAD3 YBR136W YBR1012	2368	UP000002311: Chromosome II
YBR143C	P12385	ERF1_YEAST	reviewed	Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Omnipotent suppressor protein 1)	SUP45 SAL4 SUP1 YBR143C YBR1120	437	UP000002311: Chromosome II
YBR152W	P38282	SP381_YEAST	reviewed	Pre-mRNA-splicing factor SPP381 (Suppressor of PRP38-1 mutation)	SPP381 YBR152W YBR1202	291	UP000002311: Chromosome II
YBR154C	P20434	RPAB1_YEAST	reviewed	DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (ABC27) (DNA-directed RNA polymerases I, II, and III 27 kDa polypeptide)	RPB5 RPA7 RPC9 YBR154C YBR1204	215	UP000002311: Chromosome II
YBR155W	P33313	CNS1_YEAST	reviewed	Hsp70/Hsp90 co-chaperone CNS1 (Cyclophilin seven suppressor 1) (STI1 stress-inducible protein homolog)	CNS1 YBR155W YBR1205	385	UP000002311: Chromosome II
YBR156C	P38283	SLI15_YEAST	reviewed	Inner centromere protein-related protein SLI15 (INCENP-related protein SLI15)	SLI15 YBR156C YBR1206	698	UP000002311: Chromosome II
YBR160W	P00546	CDK1_YEAST	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 1)	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	298	UP000002311: Chromosome II
YBR167C	P38291	POP7_YEAST	reviewed	Ribonucleases P/MRP protein subunit POP7 (EC 3.1.26.5) (RNA-processing protein POP7) (RNases P/MRP 15.8 kDa subunit)	POP7 RPP2 YBR167C YBR1219	140	UP000002311: Chromosome II
YBR170C	P33755	NPL4_YEAST	reviewed	Nuclear protein localization protein 4 (HMG-CoA reductase degradation protein 4)	NPL4 HRD4 YBR170C YBR1231	580	UP000002311: Chromosome II
YBR171W	P33754	SEC66_YEAST	reviewed	Translocation protein SEC66 (Protein HSS1) (Sec62/63 complex 31.5 kDa subunit)	SEC66 HSS1 SEC71 YBR171W YBR1232	206	UP000002311: Chromosome II
YBR172C	P32909	SMY2_YEAST	reviewed	Protein SMY2 (Suppressor of MYO2-66 protein)	SMY2 YBR172C YBR1233	740	UP000002311: Chromosome II
YBR188C	P38302	NTC20_YEAST	reviewed	Pre-mRNA-splicing factor NTC20 (PRP19-associated complex protein 20) (Synergistic to PRP19 mutation protein 384)	NTC20 SNT384 YBR188C YBR1316	140	UP000002311: Chromosome II
YBR191W	Q02753	RL21A_YEAST	reviewed	60S ribosomal protein L21-A (Large ribosomal subunit protein eL21-A)	RPL21A URP1 YBR191W YBR1401	160	UP000002311: Chromosome II
YBR193C	P38304	MED8_YEAST	reviewed	Mediator of RNA polymerase II transcription subunit 8 (Mediator complex subunit 8)	MED8 YBR193C YBR1403	223	UP000002311: Chromosome II
YBR195C	P13712	MSI1_YEAST	reviewed	Chromatin assembly factor 1 subunit p50 (CAF-1 p50 subunit) (IRA1 multicopy suppressor) (Protein MSI1)	MSI1 CAC3 YBR195C YBR1405	422	UP000002311: Chromosome II
YBR200W	P29366	BEM1_YEAST	reviewed	Bud emergence protein 1 (Suppressor of RHO3 protein 1)	BEM1 SRO1 YBR200W YBR1412	551	UP000002311: Chromosome II
YBR202W	P38132	MCM7_YEAST	reviewed	DNA replication licensing factor MCM7 (EC 3.6.4.12) (Cell division control protein 47) (Minichromosome maintenance protein 7)	MCM7 CDC47 YBR202W YBR1441	845	UP000002311: Chromosome II
YBR207W	P38310	FTH1_YEAST	reviewed	Iron transporter FTH1	FTH1 YBR207W YBR1446	465	UP000002311: Chromosome II
YBR217W	P38316	ATG12_YEAST	reviewed	Ubiquitin-like protein ATG12 (Autophagy-related protein 12)	ATG12 APG12 YBR217W YBR1506	186	UP000002311: Chromosome II
YBR239C	P38140	ERT1_YEAST	reviewed	Transcription activator of gluconeogenesis ERT1 (Ethanol regulator of translation 1)	ERT1 YBR239C YBR1622	529	UP000002311: Chromosome II
YBR253W	P32570	MED22_YEAST	reviewed	Mediator of RNA polymerase II transcription subunit 22 (Mediator complex subunit 22) (Suppressor of RNA polymerase B 6)	SRB6 MED22 YBR253W YBR1721	121	UP000002311: Chromosome II
YBR254C	P38334	TRS20_YEAST	reviewed	Trafficking protein particle complex subunit 20 (TRAPP subunit 20) (Transport protein particle 20 kDa subunit)	TRS20 YBR254C YBR1722	175	UP000002311: Chromosome II
YBR274W	P38147	CHK1_YEAST	reviewed	Serine/threonine-protein kinase CHK1 (EC 2.7.11.1) (Checkpoint kinase 1)	CHK1 YBR274W YBR1742	527	UP000002311: Chromosome II
YBR278W	P27344	DPB3_YEAST	reviewed	DNA polymerase epsilon subunit C (DNA polymerase II subunit C)	DPB3 YBR278W YBR2015	201	UP000002311: Chromosome II
YBR279W	P38351	PAF1_YEAST	reviewed	RNA polymerase II-associated protein 1 (Protein PAF1)	PAF1 YBR279W YBR2016	445	UP000002311: Chromosome II
YBR288C	P38153	AP3M_YEAST	reviewed	AP-3 complex subunit mu (AP-3 adaptor complex mu3A subunit) (Adaptor-related protein complex 3 subunit mu) (Mu-adaptin 3A) (Mu3-adaptin)	APM3 YKS6 YBR288C YBR2035	483	UP000002311: Chromosome II
YBR289W	P18480	SNF5_YEAST	reviewed	SWI/SNF chromatin-remodeling complex subunit SNF5 (SWI/SNF complex subunit SNF5) (Transcription factor TYE4) (Transcription regulatory protein SNF5)	SNF5 SWI10 TYE4 YBR289W YBR2036	905	UP000002311: Chromosome II
YBR290W	P38356	BSD2_YEAST	reviewed	Metal homeostatis protein BSD2 (Bypass SOD defects protein 2)	BSD2 YBR290W YBR2037	321	UP000002311: Chromosome II
YCL008C	P25604	STP22_YEAST	reviewed	Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease (ESCRT-I complex subunit VPS23) (Vacuolar protein sorting-associated protein 23)	STP22 VPS23 YCL008C YCL8C	385	UP000002311: Chromosome III
YCL009C	P25605	ILV6_YEAST	reviewed	Acetolactate synthase small subunit, mitochondrial (Acetohydroxy-acid synthase small subunit) (AHAS) (ALS)	ILV6 YCL009C YCL9C	309	UP000002311: Chromosome III
YCL027W	P11710	FUS1_YEAST	reviewed	Nuclear fusion protein FUS1	FUS1 YCL027W YCL27W	512	UP000002311: Chromosome III
YCL032W	P25344	STE50_YEAST	reviewed	Protein STE50	STE50 YCL032W YCL32W	346	UP000002311: Chromosome III
YCL034W	P25369	LSB5_YEAST	reviewed	LAS seventeen-binding protein 5 (LAS17-binding protein 5)	LSB5 YCL034W YCL186 YCL34W	354	UP000002311: Chromosome III
YCL067C	P0CY09	HMAL2_YEAST	reviewed	Silenced mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor)	HMLALPHA2 YCL067C YCL67C	210	UP000002311: Chromosome III
YCR002C	P25342	CDC10_YEAST	reviewed	Cell division control protein 10	CDC10 YCR002C YCR022 YCR2C	322	UP000002311: Chromosome III
YCR009C	P25343	RV161_YEAST	reviewed	Reduced viability upon starvation protein 161	RVS161 END6 SPE161 YCR009C YCR9C	265	UP000002311: Chromosome III
YCR034W	P25358	ELO2_YEAST	reviewed	Elongation of fatty acids protein 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELO2) (Fenpropimorph resistance protein 1) (Glucan synthesis protein 1) (Very-long-chain 3-oxoacyl-CoA synthase 2) (v-SNARE bypass mutant gene 2 protein)	ELO2 FEN1 GNS1 VBM2 YCR034W YCR34W YCR521	347	UP000002311: Chromosome III
YCR039C	P0CY08	MTAL2_YEAST	reviewed	Mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor)	MATALPHA2 ALPHA-2 MAT2A MATAL2 YCR039C YCR39C	210	UP000002311: Chromosome III
YCR042C	P23255	TAF2_YEAST	reviewed	Transcription initiation factor TFIID subunit 2 (TAFII-150) (TBP-associated factor 150 kDa) (TBP-associated factor 2) (TSM-1)	TAF2 TAF150 TSM1 YCR042C YCR42C YCR724	1407	UP000002311: Chromosome III
YCR052W	P25632	RSC6_YEAST	reviewed	Chromatin structure-remodeling complex protein RSC6 (Remodel the structure of chromatin complex subunit 6)	RSC6 YCR052W YCR52W	483	UP000002311: Chromosome III
YCR060W	P25638	TAH1_YEAST	reviewed	TPR repeat-containing protein associated with Hsp90	TAH1 YCR060W YCR60W	111	UP000002311: Chromosome III
YCR066W	P10862	RAD18_YEAST	reviewed	Postreplication repair E3 ubiquitin-protein ligase RAD18 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAD18) (Radiation sensitivity protein 18)	RAD18 YCR066W YCR66W	487	UP000002311: Chromosome III
YCR077C	P25644	PAT1_YEAST	reviewed	DNA topoisomerase 2-associated protein PAT1 (Decapping activator and translational repressor PAT1) (Topoisomerase II-associated protein PAT1) (mRNA turnover protein 1)	PAT1 MRT1 YCR077C YCR77C	796	UP000002311: Chromosome III
YCR081W	P25648	SRB8_YEAST	reviewed	Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12) (Suppressor of RNA polymerase B 8)	SRB8 GIG1 MED12 NUT6 SSN5 YCR081W YCR81W/YCR80W	1427	UP000002311: Chromosome III
YCR084C	P16649	TUP1_YEAST	reviewed	General transcriptional corepressor TUP1 (Flocculation suppressor protein) (Glucose repression regulatory protein TUP1) (Repressor AER2)	TUP1 AAR1 AER2 AMM1 CYC9 FLK1 SFL2 UMR7 YCR084C YCR84C	713	UP000002311: Chromosome III
YCR086W	P25651	CSM1_YEAST	reviewed	Monopolin complex subunit CSM1 (Chromosome segregation in meiosis protein 1)	CSM1 SPO86 YCR086W YCR86W	190	UP000002311: Chromosome III
YCR088W	P15891	ABP1_YEAST	reviewed	Actin-binding protein	ABP1 YCR088W YCR88W	592	UP000002311: Chromosome III
YCR092C	P25336	MSH3_YEAST	reviewed	DNA mismatch repair protein MSH3 (Mismatch-binding protein) (MBP) (MutS protein homolog 3)	MSH3 YCR092C YCR1152 YCR92C	1018	UP000002311: Chromosome III
YCR096C	P0CY13	HMRA2_YEAST	reviewed	Silenced mating-type protein A2 (MATa2 protein)	HMRA2 YCR096C YCR96C	119	UP000002311: Chromosome III
YCR097W	P0CY11	HMRA1_YEAST	reviewed	Silenced mating-type protein A1 (MATa1 protein)	HMRA1 YCR097W YCR97W	126	UP000002311: Chromosome III
YDL003W	Q12158	SCC1_YEAST	reviewed	Sister chromatid cohesion protein 1	MCD1 PDS3 RHC21 SCC1 YDL003W YD8119.04	566	UP000002311: Chromosome IV
YDL014W	P15646	FBRL_YEAST	reviewed	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase) (U3 small nucleolar RNA-associated protein NOP1) (Nucleolar protein 1) (U3 snoRNA-associated protein NOP1)	NOP1 LOT3 YDL014W D2870	327	UP000002311: Chromosome IV
YDL017W	P06243	CDC7_YEAST	reviewed	Cell division control protein 7 (EC 2.7.11.1)	CDC7 OAF2 YDL017W D2855	507	UP000002311: Chromosome IV
YDL029W	P32381	ARP2_YEAST	reviewed	Actin-related protein 2 (Actin-like protein ARP2) (Actin-like protein 2)	ARP2 ACT2 YDL029W D2778	391	UP000002311: Chromosome IV
YDL030W	P19736	PRP9_YEAST	reviewed	Pre-mRNA-splicing factor PRP9	PRP9 YDL030W D2773	530	UP000002311: Chromosome IV
YDL035C	Q12361	GPR1_YEAST	reviewed	G protein-coupled receptor GPR1	GPR1 YDL035C	961	UP000002311: Chromosome IV
YDL040C	P12945	NAT1_YEAST	reviewed	N-terminal acetyltransferase A complex subunit NAT1 (NatA complex subunit NAT1) (Amino-terminal, alpha-amino, acetyltransferase 1)	NAT1 AAA1 YDL040C D2720	854	UP000002311: Chromosome IV
YDL042C	P06700	SIR2_YEAST	reviewed	NAD-dependent histone deacetylase SIR2 (EC 2.3.1.286) (Regulatory protein SIR2) (Silent information regulator 2)	SIR2 MAR1 YDL042C D2714	562	UP000002311: Chromosome IV
YDL043C	Q07350	PRP11_YEAST	reviewed	Pre-mRNA-splicing factor PRP11	PRP11 PRP10 RNA11 YDL043C D2711	266	UP000002311: Chromosome IV
YDL047W	P20604	PP11_YEAST	reviewed	Serine/threonine-protein phosphatase PP1-1 (EC 3.1.3.16)	SIT4 PPH1 YDL047W D2693	311	UP000002311: Chromosome IV
YDL056W	P39678	MBP1_YEAST	reviewed	Transcription factor MBP1 (MBF subunit p120)	MBP1 YDL056W	833	UP000002311: Chromosome IV
YDL061C	P41058	RS29B_YEAST	reviewed	40S ribosomal protein S29-B (S36) (Small ribosomal subunit protein uS14-B) (YS29)	RPS29B RPS36B YS29B YDL061C	56	UP000002311: Chromosome IV
YDL064W	P50623	UBC9_YEAST	reviewed	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (Ubiquitin carrier protein 9) (Ubiquitin-conjugating enzyme E2-18 kDa) (Ubiquitin-protein ligase)	UBC9 YDL064W	157	UP000002311: Chromosome IV
YDL077C	Q07468	VAM6_YEAST	reviewed	Vacuolar morphogenesis protein 6 (Vacuolar protein sorting-associated protein 39)	VAM6 CVT4 VPL18 VPL22 VPS39 YDL077C	1049	UP000002311: Chromosome IV
YDL083C	P0CX52	RS16B_YEAST	reviewed	40S ribosomal protein S16-B (RP61R) (Small ribosomal subunit protein uS9-B)	RPS16B YDL083C	143	UP000002311: Chromosome IV
YDL090C	P22007	FNTB_YEAST	reviewed	Protein farnesyltransferase subunit beta (FTase-beta) (EC 2.5.1.58) (CAAX farnesyltransferase subunit beta) (Ras proteins prenyltransferase subunit beta)	RAM1 DPR1 SCG2 STE16 YDL090C D2412	431	UP000002311: Chromosome IV
YDL101C	P39009	DUN1_YEAST	reviewed	DNA damage response protein kinase DUN1 (EC 2.7.11.1)	DUN1 YDL101C D2370	513	UP000002311: Chromosome IV
YDL102W	P15436	DPOD_YEAST	reviewed	DNA polymerase delta catalytic subunit (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase III)	POL3 CDC2 TEX1 YDL102W D2366	1097	UP000002311: Chromosome IV
YDL106C	P07269	PHO2_YEAST	reviewed	Regulatory protein PHO2 (General regulatory factor 10)	PHO2 BAS2 GRF10 YDL106C D2350	559	UP000002311: Chromosome IV
YDL108W	P06242	KIN28_YEAST	reviewed	Serine/threonine-protein kinase KIN28 (EC 2.7.11.23)	KIN28 YDL108W D2330	306	UP000002311: Chromosome IV
YDL111C	Q12277	RRP42_YEAST	reviewed	Exosome complex component RRP42 (Ribosomal RNA-processing protein 42)	RRP42 YDL111C	265	UP000002311: Chromosome IV
