GenomeID	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
YAL055W	P39718	PEX22_YEAST	reviewed	Peroxisome assembly protein 22 (Peroxin-22)	PEX22 YAL055W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	180
YAL060W	P39714	BDH1_YEAST	reviewed	(R,R)-butanediol dehydrogenase (EC 1.1.1.4)	BDH1 BDH YAL060W FUN49	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	382
YAL062W	P39708	DHE5_YEAST	reviewed	NADP-specific glutamate dehydrogenase 2 (NADP-GDH 2) (EC 1.4.1.4) (NADP-dependent glutamate dehydrogenase 2)	GDH3 YAL062W FUN51	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457
YAR003W	P39706	SWD1_YEAST	reviewed	COMPASS component SWD1 (Complex proteins associated with SET1 protein SWD1) (Set1C component SWD1)	SWD1 CPS50 SAF49 YAR003W FUN16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	426
YAR007C	P22336	RFA1_YEAST	reviewed	Replication factor A protein 1 (RF-A protein 1) (DNA-binding protein BUF2) (Replication protein A 69 kDa DNA-binding subunit) (Single-stranded DNA-binding protein)	RFA1 BUF2 RPA1 YAR007C FUN3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	621
YAR014C	P27637	BUD14_YEAST	reviewed	Bud site selection protein 14	BUD14 YAR014C FUN2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	709
YAR018C	P22209	KIN3_YEAST	reviewed	Serine/threonine-protein kinase KIN3 (EC 2.7.11.1)	KIN3 NPK1 YAR018C FUN52	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	435
YAR027W	P39547	UIP3_YEAST	reviewed	ULP1-interacting protein 3 (DUP240 protein UIP3)	UIP3 YAR027W FUN55	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	235
YAR028W	P39548	YAJ8_YEAST	reviewed	DUP240 protein YAR028W	YAR028W FUN56	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	234
YAR031W	P39551	PRM9_YEAST	reviewed	Pheromone-regulated membrane protein 9 (DUP240 protein PRM9)	PRM9 YAR031W FUN58	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	298
YAR033W	P39552	MST28_YEAST	reviewed	Multicopy suppressor of SEC21 protein 28 (DUP240 protein MST28)	MST28 YAR033W FUN59	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	234
YAR035W	P80235	CACM_YEAST	reviewed	Putative mitochondrial carnitine O-acetyltransferase (EC 2.3.1.7)	YAT1 YAR035W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	687
YAR066W	P0CX18	YA066_YEAST	reviewed	Putative GPI-anchored protein YAR066W	YAR066W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	203
YBL001C	P35195	ECM15_YEAST	reviewed	UPF0045 protein ECM15 (Extracellular mutant protein 15)	ECM15 YBL001C YBL0105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	104
YBL006C	P38210	LDB7_YEAST	reviewed	Chromatin structure-remodeling complex protein RSC14 (Low dye-binding protein 7) (Remodel the structure of chromatin complex subunit 14)	LDB7 RSC14 YBL006C YBL0322	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	180
YBL007C	P32790	SLA1_YEAST	reviewed	Actin cytoskeleton-regulatory complex protein SLA1	SLA1 YBL007C YBL0321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1244
YBL010C	P32788	YBB0_YEAST	reviewed	Uncharacterized protein YBL010C	YBL010C YBL0316	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	280
YBL014C	P32786	RRN6_YEAST	reviewed	RNA polymerase I-specific transcription initiation factor RRN6	RRN6 YBL014C YBL0311 YBL0312	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	894
YBL016W	P16892	FUS3_YEAST	reviewed	Mitogen-activated protein kinase FUS3 (MAP kinase FUS3) (EC 2.7.11.24)	FUS3 DAC2 YBL016W YBL03.21 YBL0303	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	353
YBL020W	P38206	RFT1_YEAST	reviewed	Oligosaccharide translocation protein RFT1 (Requiring fifty-three protein 1)	RFT1 YBL020W YBL0442	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	574
YBL021C	P13434	HAP3_YEAST	reviewed	Transcriptional activator HAP3 (UAS2 regulatory protein A)	HAP3 YBL021C YBL0441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	144
YBL023C	P29469	MCM2_YEAST	reviewed	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2)	MCM2 YBL023C YBL0438	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	868
YBL025W	P38204	RRN10_YEAST	reviewed	RNA polymerase I-specific transcription initiation factor RRN10	RRN10 YBL025W YBL0426	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	145
YBL026W	P38203	LSM2_YEAST	reviewed	U6 snRNA-associated Sm-like protein LSm2 (Small nuclear ribonucleoprotein D homolog SNP3)	LSM2 SMX5 SNP3 YBL026W YBL0425	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	95
YBL033C	P38066	RIB1_YEAST	reviewed	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	RIB1 YBL033C YBL0417	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	345
YBL035C	P38121	DPOA2_YEAST	reviewed	DNA polymerase alpha subunit B (DNA polymerase I subunit B) (DNA polymerase alpha:primase complex p86 subunit) (Pol alpha-primase complex p86 subunit) (DNA polymerase-primase complex p74 subunit)	POL12 YBL035C YBL0414	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	705
YBL037W	P38065	AP2A_YEAST	reviewed	AP-2 complex subunit alpha (Alpha-adaptin) (Clathrin assembly protein complex 2 alpha large chain) (Clathrin assembly protein large alpha chain)	APL3 YBL037W YBL0412	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1025
YBL039C	P28274	URA7_YEAST	reviewed	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	URA7 YBL039C YBL0410	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	579
YBL042C	P38196	FUI1_YEAST	reviewed	Uridine permease	FUI1 YBL042C YBL0406	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	639
YBL043W	P38195	ECM13_YEAST	reviewed	Protein ECM13 (Extracellular mutant protein 13)	ECM13 YBL043W YBL0405	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	257
YBL045C	P07256	QCR1_YEAST	reviewed	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome c oxidoreductase core protein 1) (Ubiquinol-cytochrome c reductase 44 kDa protein)	COR1 QCR1 YBL045C YBL0403	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457
YBL046W	P38193	PP4R2_YEAST	reviewed	Serine/threonine-protein phosphatase 4 regulatory subunit 2 (PP4R2)	PSY4 HTP3 YBL046W YBL0402	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	441
YBL047C	P34216	EDE1_YEAST	reviewed	EH domain-containing and endocytosis protein 1 (Bud site selection protein 15)	EDE1 BUD15 YBL047C YBL0501 YBL0520	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1381
YBL051C	P34217	PIN4_YEAST	reviewed	RNA-binding protein PIN4 (Psi inducibility protein 4)	PIN4 MDT1 YBL051C YBL0506 YBL0516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	668
YBL056W	P34221	PP2C3_YEAST	reviewed	Protein phosphatase 2C homolog 3 (PP2C-3) (EC 3.1.3.16)	PTC3 YBL056W YBL0511 YBL0513	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	468
YBL057C	P34222	PTH2_YEAST	reviewed	Peptidyl-tRNA hydrolase 2 (PTH 2) (EC 3.1.1.29)	PTH2 YBL057C YBL0510 YBL0514	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	208
YBL058W	P34223	UBX1_YEAST	reviewed	UBX domain-containing protein 1 (Suppressor of high-copy PP1 protein)	SHP1 UBX1 YBL058W YBL0509 YBL0515	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	423
YBL060W	P34225	YEL1_YEAST	reviewed	Guanine-nucleotide exchange factor YEL1 (EFA6-like protein 1)	YEL1 YBL060W YBL0507 YBL0517	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	687
YBL068W	P38063	KPR4_YEAST	reviewed	Ribose-phosphate pyrophosphokinase 4 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 4)	PRS4 PRPS4 YBL068W YBL0619	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	326
YBL069W	P35183	AST1_YEAST	reviewed	Protein AST1	AST1 YBL069W YBL06.04 YBL0617	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	429
YBL077W	P38183	YBH7_YEAST	reviewed	Putative uncharacterized protein YBL077W	YBL077W YBL0733	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	143
YBL078C	P38182	ATG8_YEAST	reviewed	Autophagy-related protein 8 (Autophagy-related ubiquitin-like modifier ATG8) (Cytoplasm to vacuole targeting protein 5)	ATG8 APG8 AUT7 CVT5 YBL078C YBL0732	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	117
YBL081W	P38180	YBI1_YEAST	reviewed	Uncharacterized protein YBL081W	YBL081W YBL0722	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	368
YBL091C	P38174	MAP2_YEAST	reviewed	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M)	MAP2 YBL091C YBL0701	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	421
YBL093C	P25046	MED19_YEAST	reviewed	Mediator of RNA polymerase II transcription subunit 19 (Hypoxic gene repressor protein 3) (Mediator complex subunit 19) (Negative regulator of URS2 protein 3) (SNF1 suppressor protein 7)	ROX3 MED19 NUT3 SSN7 YBL093C YBL0837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	220
YBL101C	P38167	ECM21_YEAST	reviewed	Protein ECM21 (Extracellular mutant protein 21)	ECM21 YBL101C YBL0814	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1117
YBL102W	P38166	SFT2_YEAST	reviewed	Protein transport protein SFT2	SFT2 YBL102W YBL0812	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	215
YBL105C	P24583	KPC1_YEAST	reviewed	Protein kinase C-like 1 (PKC 1) (EC 2.7.11.13)	PKC1 HPO2 STT1 YBL105C YBL0807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1151
YBR006W	P38067	UGA2_YEAST	reviewed	Succinate-semialdehyde dehydrogenase [NADP(+)] (SSDH) (EC 1.2.1.16)	UGA2 UGA5 YBR006W YBR0112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	497
YBR019C	P04397	GAL10_YEAST	reviewed	Bifunctional protein GAL10 [Includes: UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase); Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase)]	GAL10 YBR019C YBR0301	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	699
YBR029C	P38221	CDS1_YEAST	reviewed	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CDP-DG synthase) (CTP:phosphatidate cytidylyltransferase)	CDS1 CDG1 YBR029C YBR0313	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457
YBR030W	P38222	RKM3_YEAST	reviewed	Ribosomal lysine N-methyltransferase 3 (EC 2.1.1.-)	RKM3 YBR030W YBR0314	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	552
YBR034C	P38074	HMT1_YEAST	reviewed	Protein arginine N-methyltransferase 1 (EC 2.1.1.-) (Major type I protein arginine N-methyltransferase) (Type I PRMT) (hnRNP arginine N-methyltransferase)	HMT1 ODP1 RMT1 YBR034C YBR0320	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348
YBR038W	P14180	CHS2_YEAST	reviewed	Chitin synthase 2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 2)	CHS2 YBR038W YBR0407	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	963
YBR040W	P38224	FIG1_YEAST	reviewed	Factor-induced gene 1 protein	FIG1 YBR040W YBR0410	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	298
YBR041W	P38225	FAT1_YEAST	reviewed	Very long-chain fatty acid transport protein	FAT1 YBR041W YBR0411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	669
YBR042C	P38226	CST26_YEAST	reviewed	Uncharacterized acyltransferase CST26 (EC 2.3.-.-) (Chromosome stability protein 26)	CST26 YBR042C YBR0412	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	397
YBR052C	P38234	RFS1_YEAST	reviewed	Protein RFS1 (RAD55 suppressor protein 1)	RFS1 YBR052C YBR0505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	210
YBR055C	P19735	PRP6_YEAST	reviewed	Pre-mRNA-splicing factor 6	PRP6 RNA6 YBR055C YBR0508	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	899
YBR056W	P38081	YBQ6_YEAST	reviewed	Uncharacterized glycosyl hydrolase YBR056W (EC 3.2.1.-)	YBR056W YBR0510	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	501
YBR057C	P38236	MUM2_YEAST	reviewed	Protein MUM2 (Muddled meiosis protein 2)	MUM2 YBR057C YBR0514	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	366
YBR059C	P38080	AKL1_YEAST	reviewed	Serine/threonine-protein kinase AKL1 (EC 2.7.11.1)	AKL1 YBR059C YBR0519	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1108
YBR072W	P15992	HSP26_YEAST	reviewed	Heat shock protein 26 (26 kDa heat shock protein)	HSP26 YBR072W YBR0714	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	214
YBR077C	P38247	SLM4_YEAST	reviewed	Protein SLM4 (EGO complex subunit 3) (GSE complex subunit 1)	SLM4 EGO3 GSE1 YBR077C YBR0723	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	162
YBR080C	P18759	SEC18_YEAST	reviewed	Vesicular-fusion protein SEC18	SEC18 YBR080C YBR0736	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	758
YBR087W	P38251	RFC5_YEAST	reviewed	Replication factor C subunit 5 (Replication factor C5) (Activator 1 40 kDa subunit)	RFC5 YBR087W YBR0810	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	354
YBR088C	P15873	PCNA_YEAST	reviewed	Proliferating cell nuclear antigen (PCNA)	POL30 YBR088C YBR0811	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	258
YBR094W	P38254	TTL_YEAST	reviewed	Probable tubulin--tyrosine ligase PBY1 (EC 6.3.2.25) (P-body-associated protein 1)	PBY1 YBR094W YBR0821	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	753
YBR101C	P38260	FES1_YEAST	reviewed	Hsp70 nucleotide exchange factor FES1 (Factor exchange for SSA1 protein 1)	FES1 YBR101C YBR0830	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	290
YBR102C	P38261	EXO84_YEAST	reviewed	Exocyst complex component EXO84 (Exocyst complex protein of 84 kDa) (U1 SNP1-associating protein 3)	EXO84 USA3 YBR102C YBR0831	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	753
YBR103W	P38262	SIF2_YEAST	reviewed	SIR4-interacting protein SIF2	SIF2 EMB1 YBR103W YBR0832	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	535
YBR107C	P38265	CENPL_YEAST	reviewed	Inner kinetochore subunit IML3 (CENP-L homolog) (Constitutive centromere-associated network protein IML3) (Increased minichromosome loss protein 3) (Minichromosome maintenance protein 19)	IML3 MCM19 YBR107C YBR0836	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	245
YBR108W	P38266	AIM3_YEAST	reviewed	Altered inheritance of mitochondria protein 3	AIM3 YBR108W YBR0901	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	947
YBR109C	P06787	CALM_YEAST	reviewed	Calmodulin (CaM)	CMD1 YBR109C YBR0904	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	147
YBR111C	Q01976	ADPP_YEAST	reviewed	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase)	YSA1 YBR111C YBR0907	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	231
YBR122C	P36531	RM36_YEAST	reviewed	54S ribosomal protein L36, mitochondrial (Mitochondrial large ribosomal subunit protein bL31m) (YmL36)	MRPL36 YBR122C YBR0918	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	177
YBR123C	P32367	TFC1_YEAST	reviewed	Transcription factor tau 95 kDa subunit (TFIIIC 95 kDa subunit) (Transcription factor C subunit 1)	TFC1 YBR123C YBR0919	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	649
YBR125C	P38089	PP2C4_YEAST	reviewed	Protein phosphatase 2C homolog 4 (PP2C-4) (EC 3.1.3.16)	PTC4 GCT1 YBR125C YBR0921	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393
YBR126C	Q00764	TPS1_YEAST	reviewed	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit (EC 2.4.1.15) (General glucose sensor subunit 1) (Glycogen metabolism control protein GLC6) (Trehalose synthase complex catalytic subunit TPS1) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)	TPS1 BYP1 CIF1 FDP1 GGS1 GLC6 TSS1 YBR126C YBR0922	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	495
YBR130C	P38272	SHE3_YEAST	reviewed	SWI5-dependent HO expression protein 3	SHE3 YBR130C YBR1005	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	425
YBR131W	P38273	CCZ1_YEAST	reviewed	Vacuolar fusion protein CCZ1 (Autophagy-related protein 11) (Calcium-caffeine-zinc sensitivity protein 1) (Cytoplasm to vacuole targeting protein 16)	CCZ1 AUT11 CVT16 YBR131W YBR1006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	704
YBR133C	P38274	HSL7_YEAST	reviewed	Protein arginine N-methyltransferase HSL7 (EC 2.1.1.320) (Histone synthetic lethal protein 7) (Type II protein arginine N-methyltransferase) (Type II PRMT)	HSL7 YBR133C YBR1008	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	827
YBR134W	P38275	YBY4_YEAST	reviewed	Putative uncharacterized protein YBR134W	YBR134W YBR1010	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	133
YBR135W	P20486	CKS1_YEAST	reviewed	Cyclin-dependent kinases regulatory subunit (Cell division control protein CKS1)	CKS1 YBR135W YBR1011	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	150
YBR137W	P38276	YBY7_YEAST	reviewed	UPF0303 protein YBR137W	YBR137W YBR1013	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	179
YBR141C	P38278	BMT2_YEAST	reviewed	25S rRNA (adenine(2142)-N(1))-methyltransferase (EC 2.1.1.286) (Base MethylTransferase of 25S RNA)	BMT2 YBR141C YBR1118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	337
YBR150C	P38114	TBS1_YEAST	reviewed	Uncharacterized transcriptional regulatory protein TBS1 (Thiabendazole sensitive protein 1)	TBS1 YBR150C YBR1133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1094
YBR152W	P38282	SP381_YEAST	reviewed	Pre-mRNA-splicing factor SPP381 (Suppressor of PRP38-1 mutation)	SPP381 YBR152W YBR1202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	291
YBR153W	P33312	RIB7_YEAST	reviewed	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (DAROPP reductase) (DARP reductase) (EC 1.1.1.302) (2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one reductase) (2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate synthase) (DARIPP synthase)	RIB7 YBR153W YBR1203	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244
YBR154C	P20434	RPAB1_YEAST	reviewed	DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (ABC27) (DNA-directed RNA polymerases I, II, and III 27 kDa polypeptide)	RPB5 RPA7 RPC9 YBR154C YBR1204	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	215
YBR155W	P33313	CNS1_YEAST	reviewed	Hsp70/Hsp90 co-chaperone CNS1 (Cyclophilin seven suppressor 1) (STI1 stress-inducible protein homolog)	CNS1 YBR155W YBR1205	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385
YBR156C	P38283	SLI15_YEAST	reviewed	Inner centromere protein-related protein SLI15 (INCENP-related protein SLI15)	SLI15 YBR156C YBR1206	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	698
YBR160W	P00546	CDK1_YEAST	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 1)	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	298
YBR166C	P20049	TYR1_YEAST	reviewed	Prephenate dehydrogenase [NADP(+)] (PRDH) (EC 1.3.1.13)	TYR1 YBR166C YBR1218	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	452
YBR170C	P33755	NPL4_YEAST	reviewed	Nuclear protein localization protein 4 (HMG-CoA reductase degradation protein 4)	NPL4 HRD4 YBR170C YBR1231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	580
